,0
said,666
that,531
is,382
be,340
internet,316
by,304
with,292
it,267
would,255
but,253
have,240
as,238
banks,236
from,229
not,220
will,210
are,204
an,188
we,180
companies,174
new,165
congress,162
encryption,149
has,134
administration,134
this,131
committee,129
some,126
export,126
banking,124
they,122
more,120
under,117
credit,117
one,116
plan,115
year,113
financial,112
was,112
he,112
which,111
other,110
also,110
could,108
federal,107
their,106
government,105
should,103
bill,102
bank,101
securities,99
insurance,97
its,96
commerce,96
percent,95
most,94
policy,94
about,93
last,93
software,92
u.s.,91
firms,90
key,89
if,87
such,85
who,84
computer,83
information,81
over,79
products,79
had,78
industry,77
were,76
access,76
up,74
fed,73
law,72
all,71
online,68
clinton,68
rules,66
while,66
communications,66
group,66
allow,66
president,65
use,64
allowing,64
court,64
two,63
out,62
network,62
commercial,62
only,61
been,60
than,60
can,59
house,59
proposal,58
services,56
association,56
legislation,56
company,55
web,55
international,55
system,54
laws,54
issue,54
chairman,53
market,53
director,52
consumers,52
there,50
names,50
added,49
may,49
after,49
time,49
act,49
rubin,49
million,48
when,48
--,48
data,48
department,48
officials,48
society,48
business,47
recovery,47
i,46
people,46
now,46
many,45
members,45
service,45
already,45
technology,45
allowed,45
commission,44
report,44
national,44
like,44
no,44
still,43
republican,43
reform,43
current,43
wednesday,43
corp.,43
do,42
regulators,42
bankers,42
regulation,41
foreign,41
draft,41
consumer,41
providers,40
site,40
security,40
treasury,40
n't,39
according,39
including,39
without,39
inc.,39
address,38
very,38
week,38
approach,38
senate,37
're,37
phone,37
own,37
union,37
any,36
number,36
issues,36
tuesday,35
public,35
what,35
electronic,35
groups,35
example,35
his,34
reserve,34
first,34
office,34
bills,34
currency,34
expected,34
next,34
standards,33
legislators,33
fees,33
into,33
told,33
billion,33
unions,33
hearing,32
few,32
global,32
net,32
firm,32
before,32
another,32
states,32
leach,32
introduced,32
keys,32
exchange,31
several,31
world,31
you,31
mixing,31
secretary,31
using,30
likely,30
202-898-8312,30
much,30
well,30
restrictions,30
opposed,30
privacy,30
down,30
domains,30
cftc,30
case,29
private,29
problem,29
limits,29
congressional,29
largest,29
addresses,29
trading,29
month,28
those,28
years,28
corp,28
vice,28
local,28
derivatives,27
does,27
even,27
lawmakers,27
activity,27
non-financial,27
limited,27
top-level,27
authority,27
executive,26
just,26
similiar,26
did,26
top,26
way,26
end,26
debate,26
businesses,26
card,26
existing,26
both,25
america,25
earlier,25
vote,25
where,25
since,25
greenspan,25
need,25
others,25
used,25
computers,25
american,25
state,25
institutions,25
strong,25
subcommittee,24
decision,24
letter,24
come,24
put,24
although,24
our,24
trade,24
activities,24
meeting,24
take,24
features,24
amendment,24
supreme,24
countries,24
amp,23
months,23
around,23
through,23
users,23
solutions,23
sites,23
might,23
because,23
password,23
25,23
sector,23
domain,23
within,23
2000,23
d'amato,23
agencies,23
telephone,23
atms,23
friday,23
glass-steagall,23
revenue,23
board,22
futures,22
problems,22
think,22
made,22
comment,22
being,22
action,22
provide,22
lines,22
move,22
found,22
control,22
growth,22
underwriting,22
william,22
controversial,22
continue,22
section,22
commodity,21
must,21
major,21
instead,21
study,21
robert,21
so,21
enforcement,21
go,21
advocates,21
include,21
growing,21
20,21
big,21
general,21
disputes,21
name,21
make,20
among,20
three,20
until,20
same,20
get,20
pay,20
systems,20
between,20
programs,20
unreadable,20
10,20
combine,20
see,20
these,20
numbers,20
barriers,20
registration,20
working,19
representatives,19
better,19
able,19
called,19
spokesman,19
past,19
different,19
keep,19
set,19
long,19
announced,19
've,19
small,19
argued,19
urged,19
combinations,19
level,19
survey,19
john,19
warned,19
change,19
counsel,19
them,18
agency,18
potential,18
thursday,18
making,18
going,18
render,18
cyberspace,18
available,18
impose,18
needs,18
say,18
property,18
interest,18
competition,18
heath,18
whether,17
democrat,17
almost,17
proposed,17
passed,17
against,17
important,17
traffic,17
second,17
how,17
real,17
known,17
support,17
rep.,17
permitted,17
quarter,17
loans,17
comptroller,17
order,17
courts,17
reinsch,17
justice,17
currently,17
surcharge,17
considering,17
sales,17
goodlatte,17
savings,17
dunn,17
based,16
sen.,16
management,16
foundation,16
research,16
free,16
here,16
scramble,16
measure,16
want,16
markets,16
possible,16
further,16
effect,16
crack,16
intellectual,16
policies,16
forward,16
plans,16
member,16
microsoft,16
legal,16
efforts,16
senior,16
economic,16
trust,16
1997,16
speech,16
protect,16
value,15
100,15
chief,15
regulations,15
representative,15
january,15
march,15
increase,15
add,15
each,15
got,15
e-mail,15
create,15
encoding,15
industries,15
compete,15
judiciary,15
however,15
capital,15
place,15
difficult,15
continued,15
areas,15
process,15
getting,15
monday,15
soon,15
customers,15
endorsed,15
money,15
interests,15
subsidiaries,15
so-called,15
final,15
tax,15
guidelines,15
issued,14
proposals,14
risk,14
agree,14
us,14
previous,14
nation,14
work,14
common,14
favour,14
smaller,14
force,14
programmes,14
require,14
telecommunications,14
measures,14
united,14
caucus,14
mail,14
staffer,14
consensus,14
jim,14
roukema,14
criminals,14
oppose,14
position,14
netscape,14
decode,14
atm,14
everything,14
right,14
approved,14
alliance,14
ahead,14
then,14
senators,13
options,13
involved,13
concerns,13
decided,13
central,13
wrote,13
staff,13
demand,13
project,13
mci,13
moving,13
sun,13
hours,13
back,13
1996,13
area,13
http,13
part,13
little,13
separating,13
iowa,13
limit,13
cap,13
1,13
machines,13
experts,13
risks,13
product,13
fee,13
